product,source,category,researchScore,completeness,price,bundlePotential,visualScore,commercialScore
Walnut Echo Wall Sconce Accent,lewpe,lighting,100,80,290.90 EUR (demo),lighting,80,100
Bauhaus Glass Pendant Light,lewpe,lighting,100,80,86.90 EUR (demo),lighting,80,100
Glass Yellow Glow Semi-Flush Ceiling Light,lewpe,lighting,100,80,163.90 EUR (demo),lighting,80,100
Cloud Pendant Light,lewpe,lighting,100,80,180.90 EUR (demo),lighting,80,100
Glass Pendant Light,lewpe,lighting,100,80,106.90 EUR (demo),lighting,80,100
Aluminium Ambient Led Wall Sconce,lewpe,lighting,100,80,56.90 EUR (demo),lighting,80,100
Art Deco Tiered Glass Mount Ceiling Light,lewpe,lighting,100,80,180.90 EUR (demo),lighting,80,100
Aluminium Ambient Wall Sconce Acrylic,lewpe,lighting,100,80,168.90 EUR (demo),lighting,80,100
Glass Beacon Ceiling Light Iron,lewpe,lighting,100,80,310.90 EUR (demo),lighting,80,100
Wall Panel Felt-Backed,lewpe,wall-panels,100,86,184.90 EUR (demo),wall-panels,86,100
Wall Panel Walnut,lewpe,wall-panels,100,86,400.90 EUR (demo),wall-panels,86,100
Panel 4-Pack Quilted,lewpe,wall-panels,100,80,157.90 EUR (demo),wall-panels,80,100
Pine Wall Panel Finish,lewpe,wall-panels,100,80,78.90 EUR (demo),wall-panels,80,100
Walnut Hexagon Wall Panel,lewpe,wall-panels,100,80,129.90 EUR (demo),wall-panels,80,100
Aluminium Layer TêTe Garden Sculpture,viridian-bay,garden,98,76,126.90 EUR (demo),garden,76,98
Aluminium Layer Nuzzles Garden Sculpture,viridian-bay,garden,98,76,216.90 EUR (demo),garden,76,98
Aluminium Layer Couple Garden Statue,viridian-bay,garden,98,76,239.90 EUR (demo),garden,76,98
Aluminium Form Stool Accent Table,viridian-bay,outdoor,98,76,257.90 EUR (demo),outdoor,76,98
Aluminium Echo Palmas Garden Stool,viridian-bay,outdoor,98,76,239.90 EUR (demo),outdoor,76,98
Mirror Form Hummingbird Blossoms Vanity,viridian-bay,decoration,98,76,105.90 EUR (demo),decoration,76,98
Glass Palazzo Lantern,viridian-bay,garden,98,76,188.90 EUR (demo),garden,76,98
Aluminium Glow Night Garden Edging,viridian-bay,garden,98,76,124.90 EUR (demo),garden,76,98
Glass Pathfinder Deer Lantern,viridian-bay,garden,98,76,386.90 EUR (demo),garden,76,98
Glass Bloom Feathers Lantern Short,viridian-bay,garden,98,76,113.90 EUR (demo),garden,76,98
Glass Ming Temple Lantern,viridian-bay,garden,98,76,202.90 EUR (demo),garden,76,98
Aluminium Serve Sea Garden Stool,viridian-bay,outdoor,98,76,252.90 EUR (demo),outdoor,76,98
Aluminium Share Tides Garden Stool,viridian-bay,outdoor,98,76,274.90 EUR (demo),outdoor,76,98
Steel Keep Shoe Storage Carbon,lewpe,organisation,98,76,104.90 EUR (demo),organisation,76,98
Aluminium Feathers Garden Stool,viridian-bay,outdoor,98,76,290.90 EUR (demo),outdoor,76,98
Aluminium Shade Coco Garden Stool,viridian-bay,outdoor,98,76,228.90 EUR (demo),outdoor,76,98
