source,productUrl,productName,category,price,currency,imageCount,variantCount,descriptionPresent,materialPresent,dimensionsPresent,weightPresent,brandPresent,skuPresent,technicalSpecsPresent,complianceDataPresent,completenessScore,extractionConfidence,status,origin
wall-panel-centre,https://thewallpanelcentre.co.uk/products/pastel-green-starter-trim-for-hygienic-wall-cladding,Pastel Willow Green Starter Trim for Hygienic Wall Cladding,Homepage > Back,6.6,GBP,1,1,true,false,false,false,true,true,false,false,64,100,NORMALIZED,REAL_EXTRACTED
viridian-bay,https://viridianbay.com/products/tapered-cornice-lantern,Acanthus Cornice Lantern,Lanterns,260.95,USD,8,1,true,true,false,false,true,true,false,true,65,100,SELECTED,REAL_EXTRACTED
ferm-living,https://fermliving.com/products/lapel-planter-38-rust,Lapel Planter - Square - Rust,Home > Lapel Planter - Square - Rust,159.2,EUR,2,1,true,true,false,false,true,true,false,true,64,100,NORMALIZED,REAL_EXTRACTED
viridian-bay,https://viridianbay.com/products/bronze-garden-edging,Alloro Garden Edging,Trellises,68,USD,8,1,true,true,false,false,true,true,false,true,71,100,SELECTED,REAL_EXTRACTED
viridian-bay,https://viridianbay.com/products/belrose-candelabra,Belrose Candelabra,Candle Holders,155,USD,7,1,true,true,false,false,true,true,false,true,71,100,SELECTED,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/pastel-mint-hygienic-wall-cladding-pastel-colour,Pastel Mint Hygienic Wall Cladding PVC Sheet,Homepage > Back,74.41,GBP,1,2,true,true,false,false,true,true,false,true,70,100,DUPLICATE,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/pastel-clay-hygienic-wall-cladding-pastel-colour,Pastel Clay Hygienic Wall Cladding PVC Sheet,Homepage > Back,74.41,GBP,1,2,true,true,false,false,true,true,false,true,70,100,DUPLICATE,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/wet-wall-external-corner-trim,Wet Wall External Corner Joint,Homepage > Back,16.43,GBP,1,4,true,true,false,false,true,true,false,false,70,100,NORMALIZED,REAL_EXTRACTED
viridian-bay,https://viridianbay.com/products/terra-striato-garden-seat,Terra Striato Garden Seat,Outdoor Seating,374,USD,3,1,true,true,false,false,true,true,false,true,71,100,NORMALIZED,REAL_EXTRACTED
lampenwelt,https://lampenwelt.de/p/tom-dixon-led-kronleuchter-melt-chandelier-chromfarben-10041766.html,"Tom Dixon LED-Kronleuchter Melt Chandelier, chromfarben",Lampen & Leuchten > Innenleuchten > Kronleuchter,5545.4,EUR,15,0,true,true,false,false,true,true,true,false,65,100,NORMALIZED,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/hygienic-wall-cladding-satin-white,Hygienic Wall Cladding Satin White,Homepage > Back,30.74,GBP,1,8,true,true,false,false,true,true,false,false,70,100,NORMALIZED,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/premierbond-ht-adhesive-6-5kg-tub,Premierbond 2PT Adhesive 6.5kg Tub,Homepage > Back,22.8,GBP,1,1,true,true,false,false,true,true,false,false,70,100,NORMALIZED,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/wet-wall-starter-end-trim,Wet Wall Starter/End Trim,Homepage > Back,10.57,GBP,1,4,true,true,false,false,true,true,false,false,70,100,NORMALIZED,REAL_EXTRACTED
lampenwelt,https://lampenwelt.de/p/tom-dixon-mirror-ball-floor-chandelier-silberfarben-182-cm-10042135.html,"Tom Dixon Mirror Ball Floor Chandelier, silberfarben, 182 cm",Lampen & Leuchten > Innenleuchten > Stehlampen,5485.9,EUR,12,0,true,true,true,false,true,true,true,false,65,100,NORMALIZED,REAL_EXTRACTED
ferm-living,https://fermliving.com/products/twill-cushion-cashmere-black,Twill Cushion - Cashmere/Black,Home > Twill Cushion - Cashmere/Black,60,EUR,2,3,true,true,false,false,true,true,false,true,70,88,IMPORTED,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/wet-wall-bath-and-shower-sealing-strip,Wet Wall Bath and Shower Sealing Strip,Homepage > Back,22.18,GBP,1,1,true,false,false,false,true,true,false,false,70,100,NORMALIZED,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/wet-wall-adhesive,Wet Wall Adhesive,Homepage > Back,10.36,GBP,1,1,true,false,false,false,true,true,false,false,70,100,NORMALIZED,REAL_EXTRACTED
viridian-bay,https://viridianbay.com/products/cream-urna-garden-seat,Cream Urna Garden Seat,Outdoor Seating,369,USD,3,1,true,true,false,false,true,true,false,true,71,100,NORMALIZED,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/white-hygienic-cladding-joint-strip,White Hygienic Cladding Joint Strip,Homepage > Back,5.4,GBP,1,2,true,false,false,false,true,true,false,false,70,100,NORMALIZED,REAL_EXTRACTED
wall-panel-centre,https://thewallpanelcentre.co.uk/products/white-hygienic-cladding-small-internal-corner,White Hygienic Cladding Small Internal Corner,Homepage > Back,5.4,GBP,1,2,true,false,false,false,true,true,false,false,70,100,NORMALIZED,REAL_EXTRACTED
nordic-nest,https://www.nordicnest.com/brands/new-works/kite-pendant-lamp-o75-cm,Kite pendant lamp Ø75 cm from New Works - NordicNest.com,,49,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
cozy-garden,https://thecozygarden.com/collections,Collections - The Cozy Garden,,40.92,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
cozy-garden,https://thecozygarden.com/products/b593-np11608-62-feet-tall-patio-garden-arbor-with-pergola-and-2-seat-bench-for-garden-lawn-backyard-decoration-yellow,6.2 Feet Tall Patio Garden Arbor with Pergola and 2-Seat Bench for,,55.24,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
govee-eu,https://us.govee.com,LED Lights: High-Quality LEDs for Home,,60,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
lampenwelt,https://www.lampenwelt.de/p/market-set-wandlampe-screen-70-s-40-cm-hoch-birke-textil-10020773.html,"MARKET SET Wandlampe Screen 70's, 40 cm hoch, birke, Textil",,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
unknown,https://www.google.com/m/storepages?q=govee.com&c=US&hl=en-US,5 NEW Products RELEASED For 🇺🇲! (January 2024),,69.99,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
nordic-nest,https://www.nordicnest.com/brands/globen-lighting/santa-maria-30-pendant-lamp/?variantId=526334-01,Santa Maria 30 pendant lamp from Globen Lighting - NordicNest.com,,1.57,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
govee-eu,https://ca.govee.com,Smart Lighting Guides | Govee CA,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
nordic-nest,https://www.nordicnest.com/brands/muuto/fluid-pendant-lamp,Fluid pendant lamp from Muuto - NordicNest.com,,219,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
nordic-nest,https://www.nordicnest.com/brands/innolux/bulbo-pendant-lamp,Bulbo pendant lamp from Innolux - NordicNest.com,,278.15,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
nordic-nest,https://www.nordicnest.com/brands/muuto/rime-pendant-lamp-o25-cm,Rime pendant lamp Ø25 cm from Muuto - NordicNest.com,,369,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
nordic-nest,https://www.nordicnest.com/inspiration-tips/interior-design-tips/scandinavian-design-lamps,Scandinavian design lamps - find your favourite!,,811.8,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
nordic-nest,https://www.nordicnest.com/brands/new-works/margin-ceiling-lamp-o70-cm,Margin pendant lamp Ø70 cm from New Works - NordicNest.com,,879,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
unknown,https://www.google.com/m/storepages?q=kavehome.com&c=US&hl=en-US,Outdoor lighting,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
kave-home,https://kavehome.com,Aldet outdoor solar floor lamp in black flat rope cord with,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
kave-home,https://au.kavehome.com,Create a softer atmosphere for the seasons ahead,,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
maisons-du-monde,https://corporate.maisonsdumonde.com/en/file-download/download/public/23391,"[PDF] THE SEASON'S MOST BEAUTIFUL LIGHTING, BY MAISONS DU",,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
maisons-du-monde,https://www.maisonsdumonde.com/UK/en/luminaire.htm,"Lighting, reading lamps, floors lamps and more",,,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
maisons-du-monde,https://www.maisonsdumonde.com/UK/en/inspirations/exotic-ne605649f6f95072434d5d82e87a1f3fc98c3c28.html,Furniture & home accessories - Exotic,,44,EUR,0,0,true,false,false,false,false,false,false,false,0,0,IMPORTED,REAL_EXTRACTED
